time_after_eval_start_us,phase
0.102000000003503,1
0.584000000003503,2
1.0660000000035,3
1.5480000000035,4
2.0300000000035,1
2.5120000000035,2
2.9940000000035,3
3.4760000000035,4
3.9580000000035,1
4.4400000000035,2
4.9220000000035,3
5.4040000000035,4
5.8860000000035,1
6.3680000000035,2
6.8500000000035,3
7.3320000000035,4
7.8140000000035,1
8.2960000000035,2
8.7780000000035,3
9.2600000000035,4
9.7420000000035,1
10.2240000000035,2
10.7060000000035,3
11.1880000000035,4
11.6700000000035,1
12.1520000000035,2
12.6340000000035,3
13.1160000000035,4
13.5980000000035,1
14.0800000000035,2
14.5620000000035,3
15.0440000000035,4
15.5260000000035,1
16.0080000000035,2
16.4900000000035,3
16.9720000000035,4
17.4540000000035,1
17.9360000000035,2
18.4180000000035,3
18.9000000000035,4
19.3820000000035,1
19.8640000000035,2
20.3460000000035,3
20.8280000000035,4
21.3100000000035,1
21.7920000000035,2
22.2740000000035,3
22.7560000000035,4
23.2380000000035,1
23.7200000000035,2
24.2020000000035,3
24.6840000000035,4
25.1660000000035,1
25.6480000000035,2
26.1300000000035,3
26.6120000000035,4
27.0940000000035,1
27.5760000000035,2
28.0580000000035,3
28.5400000000035,4
29.0220000000035,1
29.5040000000035,2
29.9860000000035,3
30.4680000000035,4
30.9500000000035,1
31.4320000000035,2
31.9140000000035,3
32.3960000000035,4
32.8780000000035,1
33.3600000000035,2
33.8420000000035,3
34.3240000000035,4
34.8060000000035,1
35.2880000000035,2
35.7700000000035,3
36.2520000000035,4
36.7340000000035,1
37.2160000000035,2
37.6980000000035,3
38.1800000000035,4
38.6620000000001,1
39.1440000000001,2
39.6260000000001,3
40.1080000000001,4
40.5900000000001,1
41.0720000000001,2
41.5540000000001,3
42.0360000000001,4
42.5180000000001,1
43.0000000000001,2
43.4820000000001,3
43.9640000000001,4
44.4460000000001,1
44.9280000000001,2
45.4100000000001,3
45.8920000000001,4
46.3740000000001,1
46.8560000000001,2
47.3380000000001,3
47.8200000000001,4
48.3020000000001,1
48.7840000000001,2
49.2660000000001,3
49.7480000000001,4
50.2300000000001,1
50.7120000000001,2
51.1940000000001,3
51.6760000000001,4
52.1580000000001,1
52.6400000000001,2
53.1220000000001,3
53.6040000000001,4
54.0860000000001,1
54.5680000000001,2
55.0500000000001,3
55.5320000000001,4
56.0140000000001,1
56.4960000000001,2
56.9780000000001,3
57.4600000000001,4
57.9420000000001,1
58.4240000000001,2
58.9060000000001,3
59.3880000000001,4
59.8700000000001,1
60.3520000000001,2
60.8340000000001,3
61.3160000000001,4
61.7980000000001,1
62.2800000000001,2
62.7620000000001,3
63.2440000000001,4
63.7260000000001,1
64.2080000000001,2
64.6900000000001,3
65.1720000000001,4
65.6540000000001,1
66.1360000000001,2
66.6180000000001,3
67.1000000000001,4
67.5820000000001,1
68.0920000000001,2
68.6520000000069,3
69.1340000000069,4
69.6160000000069,1
70.0980000000069,2
70.5800000000069,3
71.0620000000069,4
71.5440000000069,1
72.0260000000069,2
72.5080000000069,3
72.9900000000001,4
73.4720000000001,1
73.9540000000001,2
74.4360000000001,3
74.9180000000001,4
75.4000000000001,1
75.8820000000001,2
76.3640000000001,3
76.8460000000001,4
77.3280000000001,1
77.8100000000001,2
78.2920000000001,3
78.852000000007,4
79.334000000007,1
79.816000000007,2
80.298000000007,3
80.780000000007,4
81.262000000007,1
81.744000000007,2
82.226000000007,3
82.708000000007,4
83.190000000007,1
83.672000000007,2
84.154000000007,3
84.636000000007,4
85.118000000007,1
85.600000000007,2
86.082000000007,3
86.564000000007,4
87.046000000007,1
87.528000000007,2
88.010000000007,3
88.492000000007,4
88.974000000007,1
89.456000000007,2
89.938000000007,3
90.420000000007,4
90.902000000007,1
91.384000000007,2
91.866000000007,3
92.348000000007,4
92.830000000007,1
93.312000000007,2
93.794000000007,3
94.276000000007,4
94.758000000007,1
95.240000000007,2
95.722000000007,3
96.204000000007,4
96.686000000007,1
97.168000000007,2
97.650000000007,3
98.132000000007,4
98.614000000007,1
99.096000000007,2
99.578000000007,3
100.060000000007,4
100.542000000007,1
101.024000000007,2
101.506000000007,3
101.988000000007,4
102.470000000007,1
102.952000000007,2
103.434000000007,3
103.916000000007,4
104.398000000007,1
104.880000000007,2
105.362000000007,3
105.844000000007,4
106.326000000007,1
106.808000000007,2
107.290000000007,3
107.772000000007,4
108.254000000007,1
108.736000000007,2
109.218000000007,3
109.700000000007,4
110.182000000007,1
110.664000000007,2
111.146000000007,3
111.628000000007,4
112.110000000007,1
112.592000000007,2
113.074000000007,3
113.556000000007,4
114.038000000007,1
114.520000000007,2
115.002000000007,3
115.484000000007,4
115.966000000007,1
116.448000000007,2
116.930000000007,3
117.412000000007,4
117.894000000007,1
118.376000000007,2
118.858000000007,3
119.340000000007,4
119.822000000007,1
120.304000000007,2
120.786000000007,3
121.268000000007,4
121.750000000007,1
122.232000000007,2
122.714000000007,3
123.196000000007,4
123.678000000007,1
124.160000000007,2
124.642000000007,3
125.124000000007,4
125.606000000007,1
126.088000000007,2
126.570000000007,3
127.052000000007,4
127.534000000007,1
128.016000000007,2
128.498000000007,3
128.980000000007,4
129.462000000007,1
129.944000000007,2
130.426000000007,3
130.908000000007,4
131.390000000007,1
131.872000000007,2
132.354000000007,3
132.836000000007,4
133.318000000007,1
133.800000000007,2
134.282000000007,3
134.764000000007,4
135.246000000007,1
135.728000000007,2
136.210000000007,3
136.692000000007,4
137.174000000007,1
137.656000000007,2
138.138000000007,3
138.620000000007,4
139.102000000007,1
139.584000000007,2
140.066000000007,3
140.548000000007,4
141.030000000007,1
141.512000000007,2
141.994000000007,3
142.476000000007,4
142.958000000007,1
143.440000000007,2
143.922000000007,3
144.404,4
144.886,1
145.368,2
145.85,3
146.332,4
146.814,1
147.296,2
147.778,3
148.26,4
148.742,1
149.224,2
149.706,3
150.188,4
150.67,1
151.152,2
151.634,3
152.116,4
152.598,1
153.08,2
153.562,3
154.044,4
154.526,1
155.008,2
155.49,3
155.972,4
156.454,1
156.936,2
157.418,3
157.9,4
158.382,1
158.864,2
159.346,3
159.828,4
160.31,1
160.792,2
161.274,3
161.756,4
162.238,1
162.72,2
163.202,3
163.684,4
164.166,1
164.648,2
165.13,3
165.612,4
166.094,1
166.576,2
167.058,3
167.54,4
168.022,1
168.504,2
168.986,3
169.492000000007,4
