run,offset_us,controller,window,a0_max_mV,a2_max_mV,peak_improvement_mV,a0_min_mV,a2_min_mV,undershoot_improvement_mV,a2_release_clock_time_us,a2_oneshot_time_us
R049S,0.105,A2_1p615,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.09497206043995732,-0.19797550089994953,-0.29294756133990685,1.615,1.65500000000004
R049S,0.105,A2_1p615,recovery_peak,2.093564751320054,1.969179362399931,0.12438538892012296,-0.0030137685369524547,-0.7903093474580514,-0.7872955789210989,1.615,1.65500000000004
R049S,0.105,A2_1p615,late_settling,2.0093183535299097,1.9739051915199646,0.035413162009945154,-0.8991337973940361,-0.8498861300050287,0.04924766738900743,1.615,1.65500000000004
R049S,0.105,A2_1p616,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.09497206043995732,-0.3381120845069585,-0.4330841449469158,1.61700000000004,1.69500000000002
R049S,0.105,A2_1p616,recovery_peak,2.093564751320054,1.9570150827799004,0.1365496685401535,-0.0030137685369524547,-1.1138665519979662,-1.1108527834610138,1.61700000000004,1.69500000000002
R049S,0.105,A2_1p616,late_settling,2.0093183535299097,2.075932842179995,-0.06661448865008524,-0.8991337973940361,-0.8395664991960317,0.05956729819800444,1.61700000000004,1.69500000000002
R049S,0.105,A2_1p620,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.09497206043995732,-0.3381120845069585,-0.4330841449469158,1.62099999999999,1.69500000000002
R049S,0.105,A2_1p620,recovery_peak,2.093564751320054,1.9570150827799004,0.1365496685401535,-0.0030137685369524547,-1.1138665519979662,-1.1108527834610138,1.62099999999999,1.69500000000002
R049S,0.105,A2_1p620,late_settling,2.0093183535299097,2.075932842179995,-0.06661448865008524,-0.8991337973940361,-0.8395664991960317,0.05956729819800444,1.62099999999999,1.69500000000002
R049S,0.105,A2_1p625,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.09497206043995732,-0.3381120845069585,-0.4330841449469158,1.625,1.69500000000002
R049S,0.105,A2_1p625,recovery_peak,2.093564751320054,1.9570150827799004,0.1365496685401535,-0.0030137685369524547,-1.1138665519979662,-1.1108527834610138,1.625,1.69500000000002
R049S,0.105,A2_1p625,late_settling,2.0093183535299097,2.075932842179995,-0.06661448865008524,-0.8991337973940361,-0.8395664991960317,0.05956729819800444,1.625,1.69500000000002
R049S,0.105,A2_1p630,early_local_peak,1.9439226308799462,1.9439226308799462,0.0,0.09497206043995732,-0.3381120845069585,-0.4330841449469158,1.63100000000004,1.69500000000002
R049S,0.105,A2_1p630,recovery_peak,2.093564751320054,1.9570150827799004,0.1365496685401535,-0.0030137685369524547,-1.1138665519979662,-1.1108527834610138,1.63100000000004,1.69500000000002
R049S,0.105,A2_1p630,late_settling,2.0093183535299097,2.075932842179995,-0.06661448865008524,-0.8991337973940361,-0.8395664991960317,0.05956729819800444,1.63100000000004,1.69500000000002
