area_bits,lambda_full_scale,q_lambda,q_lambda_over_nominal,sigma_wait_common_rms_ns,sigma_wait_common_peakgain_ns,sigma_phase_spacing_m2_ns,sigma_event_wait_m2_ns
8,1.268788595675788e-09,4.9562054518585465e-12,0.0078125,0.5176780180784346,0.9537863649038928,1.8920463195013477,0.9460645739349824
9,1.268788595675788e-09,2.4781027259292733e-12,0.00390625,0.2588390090392173,0.4768931824519464,0.9460231597506739,0.4730322869674912
10,1.268788595675788e-09,1.2390513629646366e-12,0.001953125,0.12941950451960865,0.2384465912259732,0.47301157987533693,0.2365161434837456
11,1.268788595675788e-09,6.195256814823183e-13,0.0009765625,0.06470975225980433,0.1192232956129866,0.23650578993766846,0.1182580717418728
12,1.268788595675788e-09,3.0976284074115916e-13,0.00048828125,0.03235487612990216,0.0596116478064933,0.11825289496883423,0.0591290358709364
13,1.268788595675788e-09,1.5488142037057958e-13,0.000244140625,0.01617743806495108,0.02980582390324665,0.059126447484417116,0.0295645179354682
14,1.268788595675788e-09,7.744071018528979e-14,0.0001220703125,0.00808871903247554,0.014902911951623325,0.029563223742208558,0.0147822589677341
15,1.268788595675788e-09,3.8720355092644895e-14,6.103515625e-05,0.00404435951623777,0.0074514559758116624,0.014781611871104279,0.00739112948386705
16,1.268788595675788e-09,1.9360177546322447e-14,3.0517578125e-05,0.002022179758118885,0.0037257279879058312,0.0073908059355521395,0.003695564741933525
18,1.268788595675788e-09,4.840044386580612e-15,7.62939453125e-06,0.0005055449395297213,0.0009314319969764578,0.0018477014838880349,0.0009238911854833813
