omega_over_pi,K_real_mV,K_imag_mV,K_abs_mV,K_phase_deg,K1_required_mV
0.001,-4.5877185699896765,-0.007172447994882207,4.587724176695713,-179.91042374160577,-4.5836510149503775
0.002,-4.599964184587309,-0.01427888613657306,4.599986346292268,-179.82214703174608,-4.5836510149503775
0.005,-4.687526919440668,-0.03447687807330421,4.687653706877525,-179.5785957031955,-4.5836510149503775
0.01,-5.029027865439572,-0.058081847914974914,5.029363257155413,-179.33830217504521,-4.5836510149503775
0.02,-7.072448224014252,0.10487807276691867,7.073225805211484,179.15041717786823,-4.5836510149503775
0.05,3.3860438686048755,1.6765349682896298,3.7783677137111185,26.341433954219035,-4.5836510149503775
0.1,0.5138274648126507,0.36262743817477416,0.6289016795278858,35.21206273351568,-4.5836510149503775
0.2,0.08512485658552713,0.15121903218713942,0.17353223592267136,60.623785644912275,-4.5836510149503775
0.35,-0.0014379240315220542,0.07757850048342556,0.07759182536051906,91.06186050301983,-4.5836510149503775
0.5,-0.022103414633533117,0.04716369457925199,0.052086226824630426,115.11028585855465,-4.5836510149503775
0.7,-0.03124567881430864,0.023946494738404274,0.039366572810232786,142.5336680181449,-4.5836510149503775
