actuator,pattern,reference_amplitude,gain_normalization,G_current_pkpk_mA,G_phase_wait_pkpk_ns,G_event_wait_rms_ns,G_vout_pkpk_mV,raw_current_pkpk_mA,raw_phase_wait_pkpk_ns,raw_event_wait_rms_ns
lambda_diff,m1_cos,8e-13,per_1e-13_area,0.013335042420736798,0.1325674052702621,0.046880240532820666,0.00011360300375407029,0.10668033936589438,1.0605392421620967,0.37504192426256533
lambda_diff,m2_alt,8e-13,per_1e-13_area,0.009957935301008192,0.13224311976095063,0.06612445449297971,8.550634540693824e-05,0.07966348240806553,1.057944958087605,0.5289956359438377
lambda_diff,one_phase,8e-13,per_1e-13_area,0.010105479041788712,0.08879151090708935,0.03825558731035901,8.777947307914147e-05,0.0808438323343097,0.7103320872567148,0.3060446984828721
ton_diff,m1_cos,1e-10,per_0p1ns,768.4979626540578,86.03200767865782,30.691710717557232,4.766953977228483,768.4979626540578,86.03200767865782,30.691710717557232
ton_diff,m2_alt,1e-10,per_0p1ns,765.070769974816,84.64383013143681,42.40949166897989,9.115773932441229,765.070769974816,84.64383013143681,42.40949166897989
ton_diff,one_phase,1e-10,per_0p1ns,517.1012168022138,63.91866383169825,27.48800152160606,3.6375487693764974,517.1012168022138,63.91866383169825,27.48800152160606
delay_diff,m1_cos,1e-10,per_0p1ns,0.031134408624566845,0.3095162589271857,0.10945523024844817,0.00023259236714423537,0.031134408624566845,0.3095162589271857,0.10945523024844817
delay_diff,m2_alt,1e-10,per_0p1ns,0.023249775205513856,0.30875918044430617,0.15438635240965087,0.00013454016012381942,0.023249775205513856,0.30875918044430617,0.15438635240965087
delay_diff,one_phase,1e-10,per_0p1ns,0.02357841755973311,0.20726094470726109,0.08929760656162598,0.00018318420924590129,0.02357841755973311,0.20726094470726109,0.08929760656162598
