omega_over_pi,dynamic_period_amp_ns,static_period_amp_ns,static_amp_error_pct,dynamic_phase_deg,static_phase_error_deg,dynamic_duty_amp,area_budget_for_1ns_dynamic,area_budget_for_1ns_static,static_budget_error_pct
0.0,5.267150188885605,3.2874995542726952,-37.584852598094486,0.0,0.0,0.00021946459120356684,3.7971197483988e-12,6.083651014950379e-12,60.21751796254995
0.001,4.977401456940135,3.2874995542726952,-33.95148889007458,-18.851413028535664,18.851413028535664,0.00020739172737250564,4.0181609164985915e-12,6.083651014950379e-12,51.40386712664675
0.005,2.593094113706409,3.2874995542726952,26.779029611607342,-59.27359711890331,59.27359711890331,0.00010804558807110039,7.71279372171079e-12,6.083651014950379e-12,-21.122601816440746
0.01,1.3433915956087426,3.2874995542726952,144.71640026771215,-72.57716437154953,72.57716437154953,5.597464981703094e-05,1.48876917686367e-11,6.083651014950379e-12,-59.13637177949531
0.02,0.49315193350841563,3.2874995542726952,566.6301662622587,-77.18306731782619,77.18306731782619,2.0547997229517318e-05,4.055545287577931e-11,6.083651014950379e-12,-84.99917869593394
0.05,0.3771718594194334,3.2874995542726952,771.6184604368472,76.0870702191015,-76.0870702191015,1.571549414247639e-05,5.3026225314861126e-11,6.083651014950379e-12,-88.52709017316121
0.1,1.1811315293818698,3.2874995542726952,178.33475548596743,73.95656634113162,-73.95656634113162,4.921381372424458e-05,1.6932915177081713e-11,6.083651014950379e-12,-64.07203986243046
0.2,2.4153366266238154,3.2874995542726952,36.10937365977009,61.256498664782136,-61.256498664782136,0.00010063902610932562,8.280419292095208e-12,6.083651014950379e-12,-26.52967439996601
0.35,3.7051463568110234,3.2874995542726952,-11.27207301192259,44.41224862205678,-44.41224862205678,0.0001543810982004593,5.397897430754603e-12,6.083651014950379e-12,12.704086970765417
0.5,4.477529712534411,3.2874995542726952,-26.57782828174967,31.05703222158736,-31.05703222158736,0.00018656373802226707,4.466748694935947e-12,6.083651014950379e-12,36.198640900652215
0.7,5.013150247463814,3.2874995542726952,-34.42248103503655,17.08017265363577,-17.08017265363577,0.00020888126031099225,3.9895073980912764e-12,6.083651014950379e-12,52.49128295540988
