pattern,amp_ton_ns,phase_current_rms_mA,phase_current_pkpk_mA,wait_pkpk_ns,avg_phase_current_A,phase_current_dev_mA,mA_per_0p1ns_rms
m1_cos,0.02,56.55482031889806,159.96118730252462,17.577663214014013,10.08 9.99999 9.92001 10,79.9804 -0.00627791 -79.9808 0.006642,282.77410159449033
m1_cos,0.05,141.21398370089554,399.4134605047925,44.18237145047905,10.1997 9.99995 9.80025 9.99998,199.706 -0.0153818 -199.708 0.0177509,282.4279674017911
m1_cos,0.1,281.1707543913563,795.2709849578686,89.95682207495851,10.3975 9.99981 9.6022 9.99988,397.63 -0.0310383 -397.641 0.0415186,281.1707543913563
m1_cos,0.2,551.5773667148886,1560.096369319119,193.1257984335933,10.7793 9.99922 9.21921 9.99942,780.018 -0.0734703 -780.078 0.13376,275.7886833574443
m1_cos,0.5,1055.8984494627098,2986.5268345286236,1000.4222276340939,11.4786 9.98564 8.49206 9.98988,1492.05 -0.901313 -1494.48 3.33276,211.17968989254194
m2_alt,0.02,79.9581000180835,159.91622035703836,17.568636229103294,10.0799 9.92003 10.0799 9.92003,79.9581 -79.9581 79.9581 -79.9581,399.79050009041754
m2_alt,0.05,199.4107894772998,398.8216029364189,44.07069968672613,10.1993 9.80051 10.1993 9.80051,199.411 -199.411 199.411 -199.411,398.8215789545996
m2_alt,0.1,395.4072549342554,790.8146230325617,88.89219471947726,10.3951 9.60428 10.3951 9.60428,395.407 -395.407 395.407 -395.407,395.4072549342554
m2_alt,0.2,764.8779624511532,1529.7564032463847,182.24729997763217,10.7638 9.23402 10.7638 9.23402,764.877 -764.878 764.878 -764.878,382.4389812255766
m2_alt,0.5,1575.7917525589187,3151.5876142443844,505.7954661768485,11.5732 8.42163 11.5732 8.42162,1575.79 -1575.79 1575.79 -1575.79,315.15835051178374
one_phase,0.02,46.1792952563518,106.65011604614172,11.999925192948382,10.08 9.97333 9.97333 9.97334,79.9849 -26.6652 -26.6634 -26.6562,230.89647628175902
one_phase,0.05,115.34630817397249,266.3908785794433,31.152282301328242,10.1998 9.93337 9.93337 9.93339,199.786 -66.6052 -66.5998 -66.5807,230.69261634794498
one_phase,0.1,229.89731050334507,530.9497660895346,66.7226193031445,10.3981 9.86711 9.86713 9.86717,398.194 -132.756 -132.741 -132.697,229.89731050334507
one_phase,0.2,452.09410517270726,1044.1539178336434,157.14733878677532,10.7824 9.73822 9.73829 9.73842,783.05 -261.104 -261.036 -260.91,226.04705258635363
one_phase,0.5,847.3906006938608,1959.3420161817594,1024.9690611031779,11.4524 9.49309 9.49543 9.4979,1467.72 -491.621 -489.286 -486.813,169.47812013877217
