target_label,objective,tau_ai_us,priority_context,dense_slew_us,proxy_slew_us,slew_delta_us,dense_offline_score,proxy_offline_score,proxy_minus_dense_score,dense_regret,proxy_regret,reason,challenge_rank_key
10A,score_settle010,0.0,False,30.0,32.0,2.0,11.0217091468132,10.53206583689932,-0.4896433099138786,0.4896433099138786,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.4896433099138786
10A,score_settle010,0.5,False,30.0,32.0,2.0,11.0217091468132,10.53206583689932,-0.4896433099138786,0.4896433099138786,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.4896433099138786
10A,score_settle010,1.0,False,30.0,32.0,2.0,11.0217091468132,10.53206583689932,-0.4896433099138786,0.4896433099138786,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.4896433099138786
10A,score_settle010,2.0,False,30.0,32.0,2.0,11.0217091468132,10.53206583689932,-0.4896433099138786,0.4896433099138786,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.4896433099138786
10A,score_settle010,5.0,False,30.0,32.0,2.0,11.0217091468132,10.53206583689932,-0.4896433099138786,0.4896433099138786,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.4896433099138786
20A,base,0.0,False,80.0,86.0,6.0,2.27271123170482,2.13279592581763,-0.13991530588719003,0.13991530588719,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.13991530588719003
20A,base,0.5,False,80.0,86.0,6.0,2.27271123170482,2.13279592581763,-0.13991530588719003,0.13991530588719,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.13991530588719003
20A,base,1.0,False,80.0,86.0,6.0,2.27271123170482,2.13279592581763,-0.13991530588719003,0.13991530588719,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.13991530588719003
20A,base,2.0,False,80.0,86.0,6.0,2.27271123170482,2.13279592581763,-0.13991530588719003,0.13991530588719,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.13991530588719003
20A,base,5.0,False,80.0,86.0,6.0,2.27271123170482,2.13279592581763,-0.13991530588719003,0.13991530588719,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.13991530588719003
20A,score_settle005,0.0,False,30.0,66.0,36.0,2.49270700467967,2.398206962702752,-0.09450004197691841,0.0945000419769184,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.09450004197691841
20A,score_settle005,0.5,False,30.0,66.0,36.0,2.49270700467967,2.398206962702752,-0.09450004197691841,0.0945000419769184,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.09450004197691841
20A,score_settle005,1.0,False,30.0,66.0,36.0,2.49270700467967,2.398206962702752,-0.09450004197691841,0.0945000419769184,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.09450004197691841
20A,score_settle005,2.0,False,30.0,66.0,36.0,2.49270700467967,2.398206962702752,-0.09450004197691841,0.0945000419769184,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.09450004197691841
20A,score_settle005,5.0,False,30.0,66.0,36.0,2.49270700467967,2.398206962702752,-0.09450004197691841,0.0945000419769184,0.0,proxy differs from dense and was not included in the R027 priority switching matrix,-0.09450004197691841
near0A,base,0.0,False,60.0,86.0,26.0,16.8006726708387,16.7842789699408,-0.016393700897900487,0.2199772991573994,0.2035835982594989,proxy differs from dense and was not included in the R027 priority switching matrix,-0.016393700897900487
near0A,base,0.5,False,60.0,86.0,26.0,16.8006726708387,16.7842789699408,-0.016393700897900487,0.2199772991573994,0.2035835982594989,proxy differs from dense and was not included in the R027 priority switching matrix,-0.016393700897900487
near0A,base,1.0,False,60.0,86.0,26.0,16.8006726708387,16.7842789699408,-0.016393700897900487,0.2199772991573994,0.2035835982594989,proxy differs from dense and was not included in the R027 priority switching matrix,-0.016393700897900487
near0A,base,2.0,False,60.0,86.0,26.0,16.8006726708387,16.7842789699408,-0.016393700897900487,0.2199772991573994,0.2035835982594989,proxy differs from dense and was not included in the R027 priority switching matrix,-0.016393700897900487
near0A,base,5.0,False,60.0,86.0,26.0,16.8006726708387,16.7842789699408,-0.016393700897900487,0.2199772991573994,0.2035835982594989,proxy differs from dense and was not included in the R027 priority switching matrix,-0.016393700897900487
10A,base,0.0,False,80.0,84.0,4.0,8.82504576097426,8.90139622925991,0.07635046828564995,0.0873244014295213,0.1636748697151713,proxy differs from dense and was not included in the R027 priority switching matrix,0.07635046828564995
10A,base,0.5,False,80.0,84.0,4.0,8.82504576097426,8.90139622925991,0.07635046828564995,0.0873244014295213,0.1636748697151713,proxy differs from dense and was not included in the R027 priority switching matrix,0.07635046828564995
10A,base,1.0,False,80.0,84.0,4.0,8.82504576097426,8.90139622925991,0.07635046828564995,0.0873244014295213,0.1636748697151713,proxy differs from dense and was not included in the R027 priority switching matrix,0.07635046828564995
10A,base,2.0,False,80.0,84.0,4.0,8.82504576097426,8.90139622925991,0.07635046828564995,0.0873244014295213,0.1636748697151713,proxy differs from dense and was not included in the R027 priority switching matrix,0.07635046828564995
